question_id	question_rank	document_title	paragraph_index
1	0	Tuvalu	49
1	1	Bill_%26_Melinda_Gates_Foundation	6
1	2	Genome	8
1	3	Rajasthan	9
1	4	Near_East	57
4	0	Association_football	2
4	1	Bras%C3%ADlia	8
4	2	Saint_Helena	64
4	3	Dog	52
4	4	Nanjing	54
7	0	Czech_language	21
7	1	The_Blitz	4
7	2	Dominican_Order	35
7	3	High-definition_television	11
7	4	Translation	22
10	0	Symbiosis	8
10	1	Education	26
10	2	Arnold_Schwarzenegger	69
10	3	Josip_Broz_Tito	52
10	4	Unicode	18
13	0	Mali	10
13	1	San_Diego	16
13	2	Chihuahua_(state)	39
13	3	Alaska	8
13	4	American_Idol	8
16	0	Atlantic_City,_New_Jersey	24
16	1	Oklahoma_City	11
16	2	Oklahoma	2
16	3	Great_Plains	5
16	4	Detroit	1
19	0	Data_compression	19
19	1	YouTube	10
19	2	LaserDisc	48
19	3	YouTube	16
19	4	BeiDou_Navigation_Satellite_System	14
22	0	Renewable_energy_commercialization	23
22	1	Professional_wrestling	21
22	2	God	23
22	3	Beyoncé	50
22	4	Aspirated_consonant	1
25	0	Nigeria	29
25	1	Asphalt	9
25	2	Asphalt	32
25	3	Royal_Dutch_Shell	7
25	4	Asphalt	15
28	0	Dog	10
28	1	Dog	12
28	2	Dog	0
28	3	New_Delhi	50
28	4	Guam	24
31	0	Aspirated_consonant	33
31	1	Aspirated_consonant	12
31	2	Digestion	9
31	3	Windows_8	6
31	4	Asphalt	4
34	0	The_Bronx	50
34	1	New_York_City	147
34	2	New_York_City	0
34	3	New_York_City	140
34	4	New_York_City	55
37	0	Insect	14
37	1	Prime_minister	1
37	2	Beer	10
37	3	Prime_minister	31
37	4	Electric_motor	31
40	0	Miami	32
40	1	Seattle	32
40	2	Detroit	31
40	3	Hyderabad	4
40	4	Houston	8
43	0	University	24
43	1	Heresy	27
43	2	Middle_Ages	4
43	3	Late_Middle_Ages	3
43	4	Middle_Ages	6
46	0	Sexual_orientation	9
46	1	Idealism	18
46	2	Alaska	26
46	3	Materialism	13
46	4	Time	0
49	0	Federal_Bureau_of_Investigation	32
49	1	Montana	42
49	2	Nonprofit_organization	6
49	3	Slavs	21
49	4	Copyright_infringement	15
52	0	Association_football	2
52	1	Bras%C3%ADlia	8
52	2	Saint_Helena	64
52	3	Dog	52
52	4	Nanjing	54
55	0	Universal_Studios	30
